participant_id,text_id,text_domain,acc_tq1,acc_tq2,acc_tq3,mean_acc_tq,reader_discipline,level_of_studies
178,p3,physics,0,0,0,0.0,physics,graduate
178,p4,physics,0,0,0,0.0,physics,graduate
178,p5,physics,0,0,0,0.0,physics,graduate
179,b0,biology,1,1,1,1.0,biology,graduate
179,b1,biology,0,1,0,0.3333333333333333,biology,graduate
179,b2,biology,1,0,0,0.3333333333333333,biology,graduate
179,b3,biology,0,0,1,0.3333333333333333,biology,graduate
179,b4,biology,0,1,0,0.3333333333333333,biology,graduate
179,b5,biology,1,1,0,0.6666666666666666,biology,graduate
179,p0,physics,0,1,0,0.3333333333333333,biology,graduate
179,p1,physics,0,1,0,0.3333333333333333,biology,graduate
179,p2,physics,0,0,0,0.0,biology,graduate
179,p3,physics,1,0,0,0.3333333333333333,biology,graduate
179,p4,physics,1,0,0,0.3333333333333333,biology,graduate
179,p5,physics,0,0,0,0.0,biology,graduate
182,b0,biology,1,0,0,0.3333333333333333,other,other
182,b1,biology,0,0,0,0.0,other,other
182,b2,biology,1,1,0,0.6666666666666666,other,other
182,b3,biology,0,0,1,0.3333333333333333,other,other
182,b4,biology,0,0,1,0.3333333333333333,other,other
182,b5,biology,0,1,0,0.3333333333333333,other,other
182,p0,physics,0,0,0,0.0,other,other
182,p1,physics,0,1,0,0.3333333333333333,other,other
182,p2,physics,1,1,0,0.6666666666666666,other,other
182,p3,physics,0,0,0,0.0,other,other
182,p4,physics,0,0,1,0.3333333333333333,other,other
182,p5,physics,0,0,0,0.0,other,other
195,b0,biology,0,1,1,0.6666666666666666,biology,graduate
195,b1,biology,0,0,0,0.0,biology,graduate
195,b2,biology,1,0,0,0.3333333333333333,biology,graduate
195,b3,biology,0,0,1,0.3333333333333333,biology,graduate
195,b4,biology,0,0,0,0.0,biology,graduate
195,b5,biology,0,1,0,0.3333333333333333,biology,graduate
195,p0,physics,0,0,0,0.0,biology,graduate
195,p1,physics,0,0,0,0.0,biology,graduate
195,p2,physics,0,1,0,0.3333333333333333,biology,graduate
195,p3,physics,0,1,0,0.3333333333333333,biology,graduate
195,p4,physics,0,0,1,0.3333333333333333,biology,graduate
195,p5,physics,0,0,0,0.0,biology,graduate
197,b0,biology,1,0,0,0.3333333333333333,other,other
197,b1,biology,0,1,0,0.3333333333333333,other,other
197,b2,biology,0,0,0,0.0,other,other
197,b3,biology,1,0,1,0.6666666666666666,other,other
197,b4,biology,0,0,0,0.0,other,other
197,b5,biology,0,1,1,0.6666666666666666,other,other
197,p0,physics,0,0,1,0.3333333333333333,other,other
197,p1,physics,0,0,0,0.0,other,other
197,p2,physics,0,0,1,0.3333333333333333,other,other
197,p3,physics,1,1,0,0.6666666666666666,other,other
197,p4,physics,0,0,0,0.0,other,other
197,p5,physics,0,0,0,0.0,other,other
201,b0,biology,0,1,1,0.6666666666666666,biology,graduate
201,b1,biology,1,0,0,0.3333333333333333,biology,graduate
201,b2,biology,1,1,0,0.6666666666666666,biology,graduate
201,b3,biology,0,0,1,0.3333333333333333,biology,graduate
201,b4,biology,0,0,0,0.0,biology,graduate
201,b5,biology,0,0,0,0.0,biology,graduate
201,p0,physics,0,1,1,0.6666666666666666,biology,graduate
201,p1,physics,0,1,0,0.3333333333333333,biology,graduate
201,p2,physics,0,0,0,0.0,biology,graduate
201,p3,physics,0,0,1,0.3333333333333333,biology,graduate
201,p4,physics,0,0,0,0.0,biology,graduate
201,p5,physics,0,0,0,0.0,biology,graduate
205,b0,biology,0,1,1,0.6666666666666666,biology,graduate
205,b1,biology,1,0,0,0.3333333333333333,biology,graduate
205,b2,biology,1,0,0,0.3333333333333333,biology,graduate
205,b3,biology,0,0,1,0.3333333333333333,biology,graduate
205,b4,biology,0,1,0,0.3333333333333333,biology,graduate
205,b5,biology,0,1,0,0.3333333333333333,biology,graduate
205,p0,physics,0,0,1,0.3333333333333333,biology,graduate
