word	word_with_punct	word_index_in_text	word_index_in_sent	sent_index_in_text	word_limit_char_indices	text_id	text_id_numeric	text_domain	text_domain_numeric	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_clause_end	is_sent_end	is_abbreviation	is_expert_technical_term	is_general_technical_term	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized	sent_surprisal_gpt2-base	text_surprisal_gpt2-base	sent_surprisal_gpt2-large	text_surprisal_gpt2-large	sent_surprisal_llama-7b	text_surprisal_llama-7b	sent_surprisal_llama-13b	text_surprisal_llama-13b	sent_surprisal_bert-base	text_surprisal_bert-base
als	als	91	10	7	628,630	b2	2	biology	0	3			0	0	1	0	0	0	0	0	0	0	0	0	KOKOM	als	3.0	kokom	als	3.0	als	1.0	3463.41309205	4153.65136184	4541.08470562	4153.65136184	0.428085856899	5247.34625955	6981.83567532	4603.69763565	302.228614971	681961.550037	1925878.64622	141980.120382	218560.946583	127440.529836	138813.260388	41334.1231877	9001.42415599	4724.78690573	0.0390845361957	0.243678478051	0.0	0.0	3467.69683344	19.2638635605	0.0	0.0	4065.34415852	32.9626109813	8.984315872192383	2.734687805175781	8.861536026000977	2.2711896896362305	3.536563873291016	0.0061976383440196	3.6115403175354	0.0084444368258118	0.0802219808101654	1.968728303909301
sie	sie	92	11	7	631,633	b2	2	biology	0	3			0	0	0	0	0	0	0	0	0	0	0	0	PPER	sie	3.0	pper	sie	3.0	sie	1.0	4963.73628971	4963.73628971	8487.45693951	4963.73628971	0.428085856899	4025.99531025	7654.66833231	8142.13342764	4056.96966584	1411597.82271	3107679.43219	282130.976914	322653.01929	243841.081467	199354.446528	48925.779496	15113.3748159	5524.95546278	0.0431282946748	0.183343569275	24520.1275636	0.428085856899	34559.672301	27.8255806985	24520.1275636	0.428085856899	34594.7025145	45.3771008313	6.800229549407959	5.431346893310547	5.707174301147461	5.400084495544434	6.560262680053711	4.325270652770996	7.050652027130127	5.044334888458252	0.6237955093383789	3.868611097335816
es	es	93	12	7	634,635	b2	2	biology	0	2			0	0	0	0	0	0	0	0	0	0	0	0	PPER	es	2.0	pper	es	2.0	es	1.0	4482.240487	4482.240487	7209.6675672	0.0	0.0	4656.84173369	7605.13349731	6486.72898142	1792.39548284	1041972.78488	2352798.39725	160713.918858	229470.714647	137226.941427	157414.447041	45007.5949345	4564.40820599	-0.00817507899599	0.0578338146002	0.220031352121	4943.65829569	0.428085856899	6564.72741013	38.0996412641	12044.7362886	0.856171713799	13944.1259674	66.3533078194	7.229374408721924	6.892479419708252	6.165751457214356	7.22182559967041	1.791315674781799	4.323710441589356	3.1193149089813232	4.186171531677246	0.0077827316708862	0.4973962306976318
im	im	94	13	7	636,637	b2	2	biology	0	2			0	0	0	0	0	0	0	0	0	0	0	0	APPRART	im	2.0	apprart	im	2.0	im	1.0	4320.93800333	4320.93800333	4852.53069013	0.0	0.0	6505.00491667	7332.35049931	6212.43055587	1739.74092244	476263.776674	1003959.79418	79143.642817	44968.7069239	79582.1540543	29361.1246672	37971.7622471	5463.51156905	-0.00817507899599	0.0471865575674	0.258008463415	13165.4578681	0.428085856899	17856.5143979	39.8119846916	13165.4578681	0.428085856899	19278.847342	58.6477623952	6.081234931945801	2.6848692893981934	6.878597259521484	1.615714430809021	1.1170589923858645	2.30171275138855	0.2795594036579132	1.6043246984481812	4.6596455574035645	0.1564901620149612
Pflanzenkörper	Pflanzenkörper	95	14	7	638,651	b2	2	biology	0	14			0	0	0	0	0	0	0	0	1	0	0	0	NN	Pflanzenkörper	14.0	nn	Pflanzenkörper	14.0	pflan-zen-kör-per	4.0	0.228902211888	0.228902211888	0.4087539498	9.36046545041	96.3193178024	1.38675272938	0.434516096494	4450.03067576	16100.7371638	3806773.2606	8830279.36883	558794.125817	1159963.69832	219434.701953	237642.873655	10343.3797233	635.972095414	257.71119027	2.67971785714e-05	0.100331071571	0.0	0.0	0.0	0.0	0.0	0.0	0.179851737912	0.428085856899	12.723407745361328	15.18914794921875	8.396145820617676	8.703420639038086	8.91622257232666	7.633822917938232	7.044742107391357	7.323341846466064	3.363740563392639	3.897263467311859
anreichern	anreichern	96	15	7	652,661	b2	2	biology	0	10			0	0	0	0	0	0	0	0	0	0	0	0	VVINF	anreichern	10.0	vvinf	anreichern	10.0	an-rei-chern	3.0	0.28612776486	0.28612776486	1.4306388243	4.2919164729	14.9830049915	3.78205289831	0.543145120617	14883.1400662	27831.5739005	4135446.00864	9106878.91163	804384.649664	1450661.82073	353862.945961	486892.867233	41334.1231877	8435.34898599	36.3791015322	0.0775100636286	0.298706784143	0.0	0.0	0.179851737912	1.2842575707	0.0	0.0	0.2043769749	2.1404292845	7.860003471374512	7.520237445831299	6.661778450012207	5.554619789123535	4.582887172698975	5.282955169677734	3.540968418121338	3.8159992694854736	0.0308852475718595	0.0439799353480339
können	können.	97	16	7	662,667	b2	2	biology	0	6		$.	0	0	0	0	1	1	0	0	0	0	0	0	VMFIN	können	6.0	vmfin	können	6.0	kön-nen	2.0	410.429840994	800.364758945	3346.01895766	1040.34420287	6.84937371039	2247.92617433	1485.25360998	13304.9737663	21461.2282639	2256673.84632	4790724.23565	449157.928849	734790.965676	355872.813658	463296.346715	11052.747678	1430.29547098	1371.06702365	0.0301274059589	0.356573992093	0.0	0.0	97.994671925	8.56171713799	0.0	0.0	382.953400488	14.5549191346	0.7402844429016113	0.6484260559082031	0.2745245099067688	0.2162376344203949	1.0109493732452393	0.7232654094696045	0.5040930509567261	0.8090282678604126	27.12404842674732	29.92819221317768
Andere	Andere	98	1	8	669,674	b2	2	biology	0	6			0	0	0	1	0	0	0	0	0	0	0	0	ADJA	Andere	6.0	adja	ander	5.0	an-de-re	3.0	17.1104403386	27.2066628987	1102.139625	61.6564457878	26.1132372709	199.440256171	51.0090860419	39281.1319496	85959.2119796	2598673.9515	5366179.50496	523868.692306	879716.435928	233627.039669	326044.743534	19822.5963712	3723.58498109	205.259883431	0.014207436095	0.0525789057304	448.125130244	0.428085856899	467.164889226	5.13703028279	448.125130244	0.428085856899	481.618428891	9.41788885179	8.228643417358398	7.469813823699951	8.1929349899292	3.92756462097168	18.1114444732666	4.956391334533691	16.049951553344727	4.55707597732544	2.8871066570281982	3.381533145904541
essenzielle	essenzielle	99	2	8	675,685	b2	2	biology	0	11			0	0	0	0	0	0	0	0	0	0	0	0	ADJA	essenzielle	11.0	adja	essenziell	10.0	es-sen-ziel-le	4.0	0.00817507899599	0.00817507899599	0.016350157992	1.2262618494	6.42128785349	0.126068429944	0.0155184320176	24746.4546256	51597.1883321	4856061.93185	10806339.5235	626357.474933	1191759.34725	231027.617976	310727.831574	45007.5949345	4564.40820599	47.0721048589	4.698e-06	1.0	0.277952685864	0.428085856899	0.277952685864	0.428085856899	0.277952685864	0.428085856899	0.28612776486	0.856171713799	20.97978973388672	9.777703285217283	20.5830192565918	9.695253372192385	11.478923797607422	9.110228538513184	13.842702865600586	6.629916191101074	2.9235701262950897	0.0094334677560254
Mineralstoffe	Mineralstoffe	100	3	8	686,698	b2	2	biology	0	13			0	0	0	0	0	0	0	0	1	0	0	0	NN	Mineralstoffe	13.0	nn	Mineralstoff	12.0	mi-ne-ral-stof-fe	5.0	0.792982662611	0.792982662611	1.26713724438	22.9392716628	128.853842927	3.65598446837	1.42769574562	21725.6893609	48422.0755315	3953327.3295	9304211.08057	562194.623501	1140056.8498	198132.53891	289356.50134	14815.8918663	3196.22698522	629.530133165	0.00569523062887	0.190344070289	0.0	0.0	0.032700315984	0.428085856899	0.0	0.0	0.506854897752	1.2842575707	10.224334716796877	0.6629909873008728	10.991945266723633	0.2935866117477417	5.269586563110352	0.6415265798568726	8.905112266540527	0.8507749438285828	3.412534117698669	0.0571113191545009
