word	word_with_punct	word_index_in_text	word_index_in_sent	sent_index_in_text	word_limit_char_indices	text_id	word_length	STTS_punctuation_before	STTS_punctuation_after	is_in_quote	is_in_parentheses	is_clause_beginning	is_sent_beginning	is_abbreviation	is_expert_technical_term	is_general_technical_term	contains_symbol	contains_hyphen	contains_abbreviation	STTS_PoS_tag	type	type_length_chars	PoS_tag	lemma	lemma_length_chars	syllables	type_length_syllables	annotated_type_frequency_normalized	type_frequency_normalized	lemma_frequency_normalized	familiarity_normalized	regularity_normalized	document_frequency_normalized	sentence_frequency_normalized	cumulative_syllable_corpus_frequency_normalized	cumulative_syllable_lexicon_frequency_normalized	cumulative_character_corpus_frequency_normalized	cumulative_character_lexicon_frequency_normalized	cumulative_character_bigram_corpus_frequency_normalized	cumulative_character_bigram_lexicon_frequency_normalized	cumulative_character_trigram_corpus_frequency_normalized	cumulative_character_trigram_lexicon_frequency_normalized	initial_letter_frequency_normalized	initial_bigram_frequency_normalized	initial_trigram_frequency_normalized	avg_cond_prob_in_bigrams	avg_cond_prob_in_trigrams	neighbors_coltheart_higher_freq_cum_freq_normalized	neighbors_coltheart_higher_freq_count_normalized	neighbors_coltheart_all_cum_freq_normalized	neighbors_coltheart_all_count_normalized	neighbors_levenshtein_higher_freq_cum_freq_normalized	neighbors_levenshtein_higher_freq_count_normalized	neighbors_levenshtein_all_cum_freq_normalized	neighbors_levenshtein_all_count_normalized	text_id_numeric	sent_surprisal_gpt2-base	text_surprisal_gpt2-base	sent_surprisal_gpt2-large	text_surprisal_gpt2-large	sent_surprisal_llama-7b	text_surprisal_llama-7b	sent_surprisal_llama-13b	text_surprisal_llama-13b	sent_surprisal_bert-base	text_surprisal_bert-base
Ein	Ein	1	1	1	1,3	b5	3			0	0	0	1	0	0	0	0	0	0	ART	Ein	3.0	art	eine	4.0	ein	1.0	562.600761425	562.682512215	17543.4333976	562.682512215	0.428085856899	1914.22304027	1063.64884892	11022.7206128	11717.9941609	859102.219201	1783188.21223	290087.985677	383818.354609	242134.778979	287624.465963	14903.9783425	3644.7281691	2977.8869754	0.0101295569273	0.0268804790931	4999.44503476	0.428085856899	5604.89138521	31.2502675537	18164.9029029	0.856171713799	19209.9723014	41.9524139761	5	4.330704212188721	4.330705165863037	4.394435882568359	4.39443302154541	14.961180686950684	14.720582008361816	17.72676658630371	17.567636489868164	0.7629249095916748	0.3932824730873108
Prion	Prion	2	2	1	4,8	b5	5			0	0	0	0	0	1	0	0	0	0	NN	Prion	5.0	nn	Prion	5.0	pri-on	2.0	0.04087539498	0.04087539498	0.04087539498	41.1042971919	18.8357777036	0.504273719775	0.0775921600881	3574.03008594	12975.2823226	1309542.43372	3018939.37448	260640.500926	472893.175455	228289.669569	327622.668002	10343.3797233	3039.31451897	422.422681881	8.4866e-05	0.0935278122	3.84228712812	2.5685151414	3.92403791808	4.70894442589	3.91586283908	2.9966009983	4.10388965599	6.84937371039	5	16.24089241027832	16.240894317626953	17.182735443115234	17.182716369628906	15.457207679748535	15.4832124710083	16.413272857666016	16.36849594116211	5.9679858684539795	0.0024374081622227095
ist	ist	3	3	1	9,11	b5	3			0	0	0	0	0	0	0	0	0	0	VAFIN	ist	3.0	vafin	sein	4.0	ist	1.0	6193.1128442	6201.98280491	17044.4184006	6201.98280491	0.428085856899	5647.61352462	10628.2947571	6392.98535058	321.920564388	917956.027182	2251465.76597	202181.475685	311508.232091	153618.244592	108375.49979	37971.7622471	6331.86028492	6216.50992029	0.0707295422332	0.285080866351	0.0	0.0	174.505236248	21.8323787019	0.0	0.0	350.048707529	42.380499833	5	6.44337797164917	6.443382740020752	6.957661151885986	6.957632064819336	7.964144706726074	7.987232208251953	8.311525344848633	8.30367374420166	1.2362616062164307	0.0023669579531997442
ein	ein	4	4	1	12,14	b5	3			0	0	0	0	0	0	0	0	0	0	ART	ein	3.0	art	eine	4.0	ein	1.0	4621.55200817	4999.44503476	17543.4333976	4999.44503476	0.428085856899	5809.23325181	8404.82933604	11022.7206128	11717.9941609	1614569.79583	3344143.78548	401662.305848	493686.589782	324158.412201	289382.186491	45007.5949345	21503.4825387	20569.6023896	0.0272545875843	0.196343258894	0.0	0.0	1145.39396797	31.6783534106	13165.4578681	0.428085856899	22077.4630101	57.7915906814	5	2.0143790245056152	2.0143775939941406	1.8231614828109741	1.8231544494628906	7.493062973022461	7.495980262756348	8.101747512817383	8.06482219696045	0.008548335172235966	0.007237525656819344
infektiöses	infektiöses	5	5	1	15,25	b5	11			0	0	0	0	0	0	1	0	0	0	ADJA	infektiöses	11.0	adja	infektiös	9.0	in-fek-ti-ö-ses	5.0			0.743932188635																										5	14.874712944030762	14.874727249145508	7.3292717933654785	7.32931661605835	9.1038179397583	9.056809425354004	5.927681922912598	5.9039483070373535	0.023612302459696366	0.0006028991720086196
Protein	Protein,	6	6	1	26,32	b5	7		$,	0	0	0	0	0	0	1	0	0	0	NN	Protein	7.0	nn	Protein	7.0	pro-tein	2.0	0.915608847551	0.915608847551	4.20199060394	268.951923889	97.6035753731	3.40384760848	1.6759906579	2303.61463489	13104.9923373	2360039.05464	5380268.66668	462687.586487	799903.252596	277768.861037	343196.431476	10343.3797233	3039.31451897	1551.10678838	0.0747068283036	0.294451931339	0.0	0.0	0.138976342932	1.7123434276	1.97019403803	0.428085856899	2.58332496273	3.4246868552	5	7.497647762298584	7.497654914855957	1.7246977090835571	1.7247000932693481	1.6268337965011597	1.6096910238265991	0.7391176223754883	0.7410135269165039	31.000209855730645	30.783396930624804
das	das	7	7	1	34,36	b5	3			0	0	1	0	0	0	0	0	0	0	PRELS	das	3.0	prels	die	3.0	das	1.0	865.29941141	7683.24989344	10789.1994813	7683.24989344	0.428085856899	6503.8703008	12246.2154424	9530.4416929	290.670296835	734069.119328	1662118.68252	216547.190476	169684.671958	215247.31204	124039.161294	110461.430317	19319.7963127	7903.50287175	0.0288325249482	0.178984875387	0.0	0.0	15300.9683536	34.6749544089	0.0	0.0	16474.0513142	50.942216971	5	6.575220584869385	6.575216293334961	1.6543933153152466	1.6544108390808105	4.469389915466309	4.4524383544921875	4.981328964233398	4.972877025604248	0.01081002876162529	0.00012039413559250534
von	von	8	8	1	37,39	b5	3			0	0	0	0	0	0	0	0	0	0	APPR	von	3.0	appr	von	3.0	von	1.0	7955.34104766	7955.34104766	8265.3727435	7955.34104766	0.428085856899	7856.20634881	12401.4928732	8585.23905938	340.756342092	620899.645044	1436353.90714	258695.641457	333765.271963	253104.606831	264495.4152	23102.1601118	13320.2529889	7993.18348833	0.0874371201871	0.312235645495	0.0	0.0	3224.03042889	30.8221816968	0.0	0.0	3276.15473257	38.9558129779	5	0.5017378330230713	0.5017415285110474	0.5401214361190796	0.5401201844215393	3.3286490440368652	3.298088550567627	0.7105069756507874	0.7105804681777954	0.004135509487241507	9.536697689327411e-06
einem	einem	9	9	1	40,44	b5	5			0	0	0	0	0	0	0	0	0	0	ART	einem	5.0	art	eine	4.0	ei-nem	2.0	1782.61685047	1790.34230012	17543.4333976	7303.86082739	14.1268332777	3919.97176067	3153.9350864	17827.7708202	6388.75332837	2493277.74291	5201994.02392	301314.568235	387807.68671	171268.730649	89262.7505372	45007.5949345	21503.4825387	20569.6023896	0.0251622544387	0.156656778568	4450.57840605	0.856171713799	5459.35045384	11.5583181363	9052.86175303	1.2842575707	10785.1855175	20.9762069881	5	2.147498846054077	2.1475071907043457	0.6522073745727539	0.6522263288497925	0.0022050845436751842	0.0021998509764671326	0.002116465475410223	0.002091008238494396	0.003018587129190564	0.0002244459028588608
endogenen	endogenen,	10	10	1	45,53	b5	9		$,	0	0	0	0	0	1	0	0	0	0	ADJA	endogenen	9.0	adja	endogen	7.0	en-do-ge-nen	4.0	0.498679818756	0.498679818756	1.29983756036	37.9650668574	11.9864039932	2.39530016893	0.931105921058	59012.6334156	127430.885538	4203366.37981	8764438.0517	949798.883655	1761562.59899	423605.40326	560661.478266	45007.5949345	2892.41652449	259.411606701	0.00348323985246	0.210025298639	0.0	0.0	0.171676658916	1.2842575707	0.0	0.0	0.425104107792	1.7123434276	5	14.058883666992188	14.058892250061035	13.635782241821289	13.635753631591797	11.369617462158203	11.313817024230957	12.068002700805664	12.058155059814453	29.45877516269684	29.87028169631958
