aoi_type	aoi	start_x	start_y	end_x	end_y	word
0 RECTANGLE	1.0	80.0	21.0	143.0	99.0	Wenn
0 RECTANGLE	2.0	143.0	21.0	199.0	99.0	ein
0 RECTANGLE	3.0	199.0	21.0	323.0	99.0	ruhendes
0 RECTANGLE	4.0	323.0	21.0	396.0	99.0	Atom
0 RECTANGLE	5.0	396.0	21.0	451.0	99.0	ein
0 RECTANGLE	6.0	451.0	21.0	549.0	99.0	Photon
0 RECTANGLE	7.0	549.0	21.0	715.0	99.0	absorbiert,
0 RECTANGLE	8.0	715.0	21.0	758.0	99.0	so
0 RECTANGLE	9.0	758.0	21.0	843.0	99.0	nimmt
0 RECTANGLE	10.0	843.0	21.0	883.0	99.0	es
0 RECTANGLE	11.0	883.0	21.0	940.0	99.0	bei
0 RECTANGLE	12.0	940.0	21.0	996.0	99.0	der
0 RECTANGLE	13.0	996.0	21.0	1151.0	99.0	Absorption
0 RECTANGLE	14.0	1151.0	21.0	1207.0	99.0	den
0 RECTANGLE	15.0	1207.0	21.0	1416.0	99.0	Photonenimpuls
0 RECTANGLE	16.0	1416.0	21.0	1473.0	99.0	auf
0 RECTANGLE	17.0	1473.0	21.0	1530.0	99.0	und
0 RECTANGLE	18.0	1530.0	21.0	1633.0	99.0	erfährt
0 RECTANGLE	19.0	81.0	99.0	185.0	181.0	deshalb
0 RECTANGLE	20.0	185.0	99.0	269.0	181.0	einen
0 RECTANGLE	21.0	269.0	99.0	490.0	181.0	Rückstoßimpuls,
0 RECTANGLE	22.0	490.0	99.0	549.0	181.0	der
0 RECTANGLE	23.0	549.0	99.0	591.0	181.0	zu
0 RECTANGLE	24.0	591.0	99.0	675.0	181.0	einer
0 RECTANGLE	25.0	675.0	99.0	843.0	181.0	kinetischen
0 RECTANGLE	26.0	843.0	99.0	1067.0	181.0	Rückstoßenergie
0 RECTANGLE	27.0	1067.0	99.0	1163.0	181.0	führt.
0 RECTANGLE	28.0	1163.0	99.0	1221.0	181.0	Die
0 RECTANGLE	29.0	1221.0	99.0	1444.0	181.0	Photonenenergie
0 RECTANGLE	30.0	1444.0	99.0	1515.0	181.0	wird
0 RECTANGLE	31.0	1515.0	99.0	1590.0	181.0	dabei
0 RECTANGLE	32.0	82.0	181.0	129.0	263.0	zum
0 RECTANGLE	33.0	129.0	181.0	213.0	263.0	einen
0 RECTANGLE	34.0	213.0	181.0	268.0	263.0	als
0 RECTANGLE	35.0	268.0	181.0	492.0	263.0	Rückstoßenergie
0 RECTANGLE	36.0	492.0	181.0	550.0	263.0	und
0 RECTANGLE	37.0	550.0	181.0	605.0	263.0	zum
0 RECTANGLE	38.0	605.0	181.0	717.0	263.0	anderen
0 RECTANGLE	39.0	717.0	181.0	771.0	263.0	als
0 RECTANGLE	40.0	771.0	181.0	1011.0	263.0	Anregungsenergie
0 RECTANGLE	41.0	1011.0	181.0	1067.0	263.0	auf
0 RECTANGLE	42.0	1067.0	181.0	1121.0	263.0	das
0 RECTANGLE	43.0	1121.0	181.0	1193.0	263.0	Atom
0 RECTANGLE	44.0	1193.0	181.0	1359.0	263.0	übertragen.
0 RECTANGLE	45.0	1359.0	181.0	1416.0	263.0	Die
0 RECTANGLE	46.0	1416.0	181.0	1543.0	263.0	Frequenz
0 RECTANGLE	47.0	1543.0	181.0	1590.0	263.0	der
0 RECTANGLE	48.0	80.0	263.0	199.0	345.0	Anregung
0 RECTANGLE	49.0	199.0	263.0	395.0	345.0	unterscheidet
0 RECTANGLE	50.0	395.0	263.0	465.0	345.0	sich
0 RECTANGLE	51.0	465.0	263.0	534.0	345.0	also
0 RECTANGLE	52.0	534.0	263.0	591.0	345.0	von
0 RECTANGLE	53.0	591.0	263.0	646.0	345.0	der
0 RECTANGLE	54.0	646.0	263.0	702.0	345.0	des
0 RECTANGLE	55.0	702.0	263.0	814.0	345.0	Photons
0 RECTANGLE	56.0	814.0	263.0	857.0	345.0	um
0 RECTANGLE	57.0	857.0	263.0	941.0	345.0	einen
0 RECTANGLE	58.0	941.0	263.0	1067.0	345.0	gewissen
0 RECTANGLE	59.0	1067.0	263.0	1176.0	345.0	Betrag.
0 RECTANGLE	60.0	1176.0	263.0	1248.0	345.0	Auch
0 RECTANGLE	61.0	1248.0	263.0	1304.0	345.0	bei
0 RECTANGLE	62.0	1304.0	263.0	1360.0	345.0	der
0 RECTANGLE	63.0	1360.0	263.0	1487.0	345.0	Emission
0 RECTANGLE	64.0	1487.0	263.0	1561.0	345.0	eines
0 RECTANGLE	65.0	82.0	345.0	184.0	427.0	Photons
0 RECTANGLE	66.0	184.0	345.0	297.0	427.0	erfährt
0 RECTANGLE	67.0	297.0	345.0	351.0	427.0	das
0 RECTANGLE	68.0	351.0	345.0	424.0	427.0	Atom
0 RECTANGLE	69.0	424.0	345.0	507.0	427.0	einen
0 RECTANGLE	70.0	507.0	345.0	645.0	427.0	Rückstoß.
0 RECTANGLE	71.0	645.0	345.0	702.0	427.0	Die
0 RECTANGLE	72.0	702.0	345.0	787.0	427.0	dabei
0 RECTANGLE	73.0	787.0	345.0	912.0	427.0	erzeugte
0 RECTANGLE	74.0	912.0	345.0	1137.0	427.0	Rückstoßenergie
