aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	33.0	661.0	181.0	885.0	263.0	zusammengesetzt
0 RECTANGLE	34.0	885.0	181.0	967.0	263.0	sind.
0 RECTANGLE	35.0	967.0	181.0	1052.0	263.0	Trägt
0 RECTANGLE	36.0	1052.0	181.0	1109.0	263.0	man
0 RECTANGLE	37.0	1109.0	181.0	1164.0	263.0	die
0 RECTANGLE	38.0	1164.0	181.0	1262.0	263.0	bisher
0 RECTANGLE	39.0	1262.0	181.0	1403.0	263.0	bekannten
0 RECTANGLE	40.0	1403.0	181.0	1529.0	263.0	Hadronen
0 RECTANGLE	41.0	1529.0	181.0	1563.0	263.0	in
0 RECTANGLE	42.0	82.0	263.0	157.0	345.0	einem
0 RECTANGLE	43.0	157.0	263.0	283.0	345.0	Diagramm
0 RECTANGLE	44.0	283.0	263.0	350.0	345.0	ein,
0 RECTANGLE	45.0	350.0	263.0	395.0	345.0	in
0 RECTANGLE	46.0	395.0	263.0	451.0	345.0	dem
0 RECTANGLE	47.0	451.0	263.0	520.0	345.0	ihre
0 RECTANGLE	48.0	520.0	263.0	605.0	345.0	Masse
0 RECTANGLE	49.0	605.0	263.0	660.0	345.0	als
0 RECTANGLE	50.0	660.0	263.0	786.0	345.0	Ordinate
0 RECTANGLE	51.0	786.0	263.0	843.0	345.0	und
0 RECTANGLE	52.0	843.0	263.0	899.0	345.0	ihr
0 RECTANGLE	53.0	899.0	263.0	969.0	345.0	Spin
0 RECTANGLE	54.0	969.0	263.0	1023.0	345.0	als
0 RECTANGLE	55.0	1023.0	263.0	1150.0	345.0	Abszisse
0 RECTANGLE	56.0	1150.0	263.0	1262.0	345.0	gewählt
0 RECTANGLE	57.0	1262.0	263.0	1345.0	345.0	wird,
0 RECTANGLE	58.0	1345.0	263.0	1389.0	345.0	so
0 RECTANGLE	59.0	1389.0	263.0	1473.0	345.0	fällt
0 RECTANGLE	60.0	1473.0	263.0	1540.0	345.0	auf,
0 RECTANGLE	61.0	1540.0	263.0	1603.0	345.0	dass
0 RECTANGLE	62.0	82.0	345.0	113.0	427.0	es
0 RECTANGLE	63.0	113.0	345.0	254.0	427.0	bestimmte
0 RECTANGLE	64.0	254.0	345.0	367.0	427.0	Gruppen
0 RECTANGLE	65.0	367.0	345.0	448.0	427.0	gibt,
0 RECTANGLE	66.0	448.0	345.0	493.0	427.0	in
0 RECTANGLE	67.0	493.0	345.0	577.0	427.0	denen
0 RECTANGLE	68.0	577.0	345.0	632.0	427.0	die
0 RECTANGLE	69.0	632.0	345.0	759.0	427.0	Teilchen
0 RECTANGLE	70.0	759.0	345.0	801.0	427.0	in
0 RECTANGLE	71.0	801.0	345.0	899.0	427.0	diesem
0 RECTANGLE	72.0	899.0	345.0	1025.0	427.0	Diagramm
0 RECTANGLE	73.0	1025.0	345.0	1080.0	427.0	eng
0 RECTANGLE	74.0	1080.0	345.0	1235.0	427.0	benachbart
0 RECTANGLE	75.0	1235.0	345.0	1316.0	427.0	sind,
0 RECTANGLE	76.0	1316.0	345.0	1387.0	427.0	d.h.
0 RECTANGLE	77.0	1387.0	345.0	1515.0	427.0	gleichen
0 RECTANGLE	78.0	1515.0	345.0	1586.0	427.0	Spin,
0 RECTANGLE	79.0	81.0	427.0	185.0	509.0	gleiche
0 RECTANGLE	80.0	185.0	427.0	297.0	509.0	Parität
0 RECTANGLE	81.0	297.0	427.0	354.0	509.0	und
0 RECTANGLE	82.0	354.0	427.0	423.0	509.0	fast
0 RECTANGLE	83.0	423.0	427.0	534.0	509.0	gleiche
0 RECTANGLE	84.0	534.0	427.0	618.0	509.0	Masse
0 RECTANGLE	85.0	618.0	427.0	715.0	509.0	haben.
0 RECTANGLE	86.0	715.0	427.0	785.0	509.0	Dies
0 RECTANGLE	87.0	785.0	427.0	898.0	509.0	brachte
0 RECTANGLE	88.0	898.0	427.0	996.0	509.0	Murray
0 RECTANGLE	89.0	996.0	427.0	1137.0	509.0	Gell-Mann
0 RECTANGLE	90.0	1137.0	427.0	1193.0	509.0	und
0 RECTANGLE	91.0	1193.0	427.0	1291.0	509.0	George
0 RECTANGLE	92.0	1291.0	427.0	1375.0	509.0	Zweig
0 RECTANGLE	93.0	1375.0	427.0	1521.0	509.0	unabhängig
0 RECTANGLE	94.0	81.0	509.0	241.0	591.0	voneinander
0 RECTANGLE	95.0	241.0	509.0	297.0	591.0	auf
0 RECTANGLE	96.0	297.0	509.0	353.0	591.0	die
0 RECTANGLE	97.0	353.0	509.0	434.0	591.0	Idee,
0 RECTANGLE	98.0	434.0	509.0	506.0	591.0	dass
0 RECTANGLE	99.0	506.0	509.0	633.0	591.0	Hadronen
0 RECTANGLE	100.0	633.0	509.0	687.0	591.0	aus
0 RECTANGLE	101.0	687.0	509.0	802.0	591.0	wenigen
0 RECTANGLE	102.0	821.0	509.0	1046.0	591.0	elementareren*T
0 RECTANGLE	103.0	1024.0	509.0	1151.0	591.0	Teilchen
0 RECTANGLE	104.0	1151.0	509.0	1375.0	591.0	zusammengesetzt
0 RECTANGLE	105.0	1375.0	509.0	1445.0	591.0	sein
0 RECTANGLE	106.0	1445.0	509.0	1559.0	591.0	sollten.
0 RECTANGLE	107.0	81.0	591.0	157.0	673.0	Diese
0 RECTANGLE	108.0	157.0	591.0	226.0	673.0	Idee
0 RECTANGLE	109.0	226.0	591.0	310.0	673.0	wurde
0 RECTANGLE	110.0	310.0	591.0	479.0	673.0	unterstützt
0 RECTANGLE	111.0	479.0	591.0	563.0	673.0	durch
0 RECTANGLE	112.0	563.0	591.0	618.0	673.0	das
0 RECTANGLE	113.0	618.0	591.0	730.0	673.0	anomale
0 RECTANGLE	114.0	730.0	591.0	898.0	673.0	magnetische
0 RECTANGLE	115.0	898.0	591.0	997.0	673.0	Moment
0 RECTANGLE	116.0	997.0	591.0	1051.0	673.0	des
0 RECTANGLE	117.0	1051.0	591.0	1190.0	673.0	Neutrons,
0 RECTANGLE	118.0	1190.0	591.0	1248.0	673.0	das
0 RECTANGLE	119.0	1248.0	591.0	1304.0	673.0	als
0 RECTANGLE	120.0	1304.0	591.0	1444.0	673.0	neutrales
0 RECTANGLE	121.0	1444.0	591.0	1563.0	673.0	Teilchen
0 RECTANGLE	122.0	82.0	673.0	227.0	755.0	eigentlich
0 RECTANGLE	123.0	227.0	673.0	296.0	755.0	kein
0 RECTANGLE	124.0	296.0	673.0	477.0	755.0	magnetisches
0 RECTANGLE	125.0	477.0	673.0	577.0	755.0	Moment
0 RECTANGLE	126.0	577.0	673.0	661.0	755.0	haben
0 RECTANGLE	127.0	661.0	673.0	771.0	755.0	sollte,
0 RECTANGLE	128.0	771.0	673.0	856.0	755.0	außer
0 RECTANGLE	129.0	856.0	673.0	927.0	755.0	wenn
0 RECTANGLE	130.0	927.0	673.0	968.0	755.0	es
0 RECTANGLE	131.0	968.0	673.0	1024.0	755.0	aus
0 RECTANGLE	132.0	1024.0	673.0	1165.0	755.0	geladenen
0 RECTANGLE	133.0	1165.0	673.0	1291.0	755.0	Teilchen
0 RECTANGLE	134.0	1291.0	673.0	1515.0	755.0	zusammengesetzt
0 RECTANGLE	135.0	1515.0	673.0	1572.0	755.0	ist,
0 RECTANGLE	136.0	81.0	755.0	158.0	837.0	deren
0 RECTANGLE	137.0	158.0	755.0	283.0	837.0	Ladungen
0 RECTANGLE	138.0	283.0	755.0	353.0	837.0	sich
0 RECTANGLE	139.0	353.0	755.0	395.0	837.0	zu
0 RECTANGLE	140.0	395.0	755.0	465.0	837.0	null
0 RECTANGLE	141.0	465.0	755.0	658.0	837.0	kompensieren.
0 RECTANGLE	142.0	658.0	755.0	787.0	837.0	Außerdem
0 RECTANGLE	143.0	787.0	755.0	870.0	837.0	wurde
0 RECTANGLE	144.0	870.0	755.0	926.0	837.0	bei
0 RECTANGLE	145.0	926.0	755.0	983.0	837.0	der
0 RECTANGLE	146.0	983.0	755.0	1109.0	837.0	Streuung
0 RECTANGLE	147.0	1109.0	755.0	1165.0	837.0	von
0 RECTANGLE	148.0	1165.0	755.0	1417.0	837.0	hochenergetischen
0 RECTANGLE	149.0	1417.0	755.0	1571.0	837.0	Elektronen
0 RECTANGLE	150.0	1571.0	755.0	1620.0	837.0	und
0 RECTANGLE	151.0	82.0	837.0	199.0	919.0	Protonen
0 RECTANGLE	152.0	199.0	837.0	241.0	919.0	an
0 RECTANGLE	153.0	241.0	837.0	367.0	919.0	Protonen
0 RECTANGLE	154.0	367.0	837.0	423.0	919.0	und
0 RECTANGLE	155.0	423.0	837.0	563.0	919.0	Neutronen
0 RECTANGLE	156.0	563.0	837.0	700.0	919.0	gefunden,
0 RECTANGLE	157.0	700.0	837.0	771.0	919.0	dass
0 RECTANGLE	158.0	771.0	837.0	856.0	919.0	beide
0 RECTANGLE	159.0	856.0	837.0	997.0	919.0	Nukleonen
0 RECTANGLE	160.0	997.0	837.0	1080.0	919.0	viele
0 RECTANGLE	161.0	1080.0	837.0	1332.0	919.0	Anregungszustände
0 RECTANGLE	162.0	1332.0	837.0	1429.0	919.0	haben.
0 RECTANGLE	163.0	1429.0	837.0	1487.0	919.0	Sie
0 RECTANGLE	164.0	1487.0	837.0	1577.0	919.0	können
0 RECTANGLE	165.0	81.0	919.0	185.0	997.0	deshalb
0 RECTANGLE	166.0	185.0	919.0	269.0	997.0	keine
0 RECTANGLE	167.0	289.0	919.0	486.0	997.0	elementaren*T
0 RECTANGLE	168.0	464.0	919.0	591.0	997.0	Teilchen
0 RECTANGLE	169.0	591.0	919.0	673.0	997.0	sein,
0 RECTANGLE	170.0	673.0	919.0	786.0	997.0	sondern
0 RECTANGLE	171.0	786.0	919.0	885.0	997.0	müssen
0 RECTANGLE	172.0	885.0	919.0	941.0	997.0	aus
0 RECTANGLE	173.0	960.0	919.0	1101.0	997.0	wirkliche
0 RECTANGLE	174.0	1081.0	919.0	1262.0	997.0	elementaren*
0 RECTANGLE	175.0	1262.0	919.0	1388.0	997.0	Teilchen
0 RECTANGLE	176.0	1388.0	919.0	1517.0	997.0	bestehen.
