aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	1.0	80.0	21.0	129.0	99.0	Der
0 RECTANGLE	2.0	129.0	21.0	324.0	99.0	entscheidende
0 RECTANGLE	3.0	324.0	21.0	479.0	99.0	Durchbruch
0 RECTANGLE	4.0	479.0	21.0	534.0	99.0	zur
0 RECTANGLE	5.0	534.0	21.0	703.0	99.0	Aufstellung
0 RECTANGLE	6.0	703.0	21.0	786.0	99.0	eines
0 RECTANGLE	7.0	786.0	21.0	1010.0	99.0	Ordnungsschemas
0 RECTANGLE	8.0	1010.0	21.0	1109.0	99.0	gelang
0 RECTANGLE	9.0	1109.0	21.0	1165.0	99.0	dem
0 RECTANGLE	10.0	1165.0	21.0	1344.0	99.0	Quarkmodell,
0 RECTANGLE	11.0	1344.0	21.0	1402.0	99.0	das
0 RECTANGLE	12.0	1402.0	21.0	1458.0	99.0	die
0 RECTANGLE	13.0	1458.0	21.0	1584.0	99.0	Vielzahl
0 RECTANGLE	14.0	1584.0	21.0	1632.0	99.0	der
0 RECTANGLE	15.0	80.0	99.0	170.0	181.0	bisher
0 RECTANGLE	16.0	170.0	99.0	325.0	181.0	gefundenen
0 RECTANGLE	17.0	325.0	99.0	381.0	181.0	als
0 RECTANGLE	18.0	401.0	99.0	682.0	181.0	Elementarteilchen*a
0 RECTANGLE	19.0	660.0	99.0	843.0	181.0	angenommenen
0 RECTANGLE	20.0	843.0	99.0	969.0	181.0	Teilchen
0 RECTANGLE	21.0	969.0	99.0	1024.0	181.0	als
0 RECTANGLE	22.0	1024.0	99.0	1136.0	181.0	Systeme
0 RECTANGLE	23.0	1136.0	99.0	1193.0	181.0	mit
0 RECTANGLE	24.0	1193.0	99.0	1305.0	181.0	innerer
0 RECTANGLE	25.0	1305.0	99.0	1431.0	181.0	Struktur
0 RECTANGLE	26.0	1431.0	99.0	1554.0	181.0	ansieht,
0 RECTANGLE	27.0	1554.0	99.0	1604.0	181.0	die
0 RECTANGLE	28.0	82.0	181.0	127.0	263.0	aus
0 RECTANGLE	29.0	127.0	181.0	242.0	263.0	wenigen
0 RECTANGLE	30.0	261.0	181.0	345.0	263.0	noche
0 RECTANGLE	31.0	325.0	181.0	534.0	263.0	elementareren*
0 RECTANGLE	32.0	534.0	181.0	661.0	263.0	Teilchen
