aoi_type	aoi	start_x	start_y	end_x	end_y	word
0 RECTANGLE	91.0	1163.0	427.0	1262.0	509.0	Stärke
0 RECTANGLE	92.0	1262.0	427.0	1319.0	509.0	ist
0 RECTANGLE	93.0	1319.0	427.0	1375.0	509.0	ein
0 RECTANGLE	94.0	1375.0	427.0	1472.0	509.0	großes
0 RECTANGLE	95.0	1472.0	427.0	1585.0	509.0	Polymer
0 RECTANGLE	96.0	1585.0	427.0	1631.0	509.0	aus
0 RECTANGLE	97.0	81.0	509.0	196.0	591.0	Glucose,
0 RECTANGLE	98.0	196.0	509.0	283.0	591.0	wirkt
0 RECTANGLE	99.0	283.0	509.0	422.0	591.0	ebenfalls
0 RECTANGLE	100.0	422.0	509.0	507.0	591.0	nicht
0 RECTANGLE	101.0	507.0	509.0	675.0	591.0	reduzierend
0 RECTANGLE	102.0	675.0	509.0	731.0	591.0	und
0 RECTANGLE	103.0	731.0	509.0	787.0	591.0	ist
0 RECTANGLE	104.0	787.0	509.0	983.0	591.0	hauptsächlich
0 RECTANGLE	105.0	983.0	509.0	1025.0	591.0	in
0 RECTANGLE	106.0	1025.0	509.0	1249.0	591.0	Speicherorganen
0 RECTANGLE	107.0	1249.0	509.0	1292.0	591.0	zu
0 RECTANGLE	108.0	1292.0	509.0	1401.0	591.0	finden.
0 RECTANGLE	109.0	1401.0	509.0	1458.0	591.0	Das
0 RECTANGLE	110.0	1458.0	509.0	1493.0	591.0	am
0 RECTANGLE	111.0	81.0	591.0	227.0	673.0	häufigsten
0 RECTANGLE	112.0	227.0	591.0	269.0	673.0	in
0 RECTANGLE	113.0	269.0	591.0	324.0	673.0	der
0 RECTANGLE	114.0	324.0	591.0	464.0	673.0	Biosphäre
0 RECTANGLE	115.0	464.0	591.0	632.0	673.0	vorkommende
0 RECTANGLE	116.0	632.0	591.0	815.0	673.0	Kohlenhydrat
0 RECTANGLE	117.0	815.0	591.0	871.0	673.0	ist
0 RECTANGLE	118.0	871.0	591.0	1053.0	673.0	unbestritten
0 RECTANGLE	119.0	1053.0	591.0	1108.0	673.0	die
0 RECTANGLE	120.0	1108.0	591.0	1261.0	673.0	Cellulose.
0 RECTANGLE	121.0	1261.0	591.0	1318.0	673.0	Sie
0 RECTANGLE	122.0	1318.0	591.0	1375.0	673.0	ist
0 RECTANGLE	123.0	1375.0	591.0	1431.0	673.0	ein
0 RECTANGLE	124.0	1431.0	591.0	1547.0	673.0	lineares
0 RECTANGLE	125.0	82.0	673.0	185.0	755.0	Polymer
0 RECTANGLE	126.0	185.0	673.0	241.0	755.0	aus
0 RECTANGLE	127.0	241.0	673.0	408.0	755.0	β-D-Glucose
0 RECTANGLE	128.0	408.0	673.0	465.0	755.0	und
0 RECTANGLE	129.0	465.0	673.0	549.0	755.0	liegt
0 RECTANGLE	130.0	549.0	673.0	745.0	755.0	hauptsächlich
0 RECTANGLE	131.0	745.0	673.0	940.0	755.0	extrazellulär
0 RECTANGLE	132.0	940.0	673.0	1009.0	755.0	vor.
0 RECTANGLE	133.0	1009.0	673.0	1107.0	755.0	Dieses
0 RECTANGLE	134.0	1107.0	673.0	1220.0	755.0	Molekül
0 RECTANGLE	135.0	1220.0	673.0	1291.0	755.0	wird
0 RECTANGLE	136.0	1291.0	673.0	1374.0	755.0	durch
0 RECTANGLE	137.0	1374.0	673.0	1590.0	755.0	membranständige
0 RECTANGLE	138.0	81.0	755.0	451.0	837.0	Cellulose-Synthasekomplexe
0 RECTANGLE	139.0	451.0	755.0	658.0	837.0	synthetisiert,
0 RECTANGLE	140.0	658.0	755.0	716.0	837.0	die
0 RECTANGLE	141.0	716.0	755.0	759.0	837.0	in
0 RECTANGLE	142.0	759.0	755.0	814.0	837.0	der
0 RECTANGLE	143.0	814.0	755.0	927.0	837.0	Membran
0 RECTANGLE	144.0	927.0	755.0	1095.0	837.0	zirkulieren
0 RECTANGLE	145.0	1095.0	755.0	1151.0	837.0	und
0 RECTANGLE	146.0	1151.0	755.0	1193.0	837.0	in
0 RECTANGLE	147.0	1193.0	755.0	1318.0	837.0	gewisser
0 RECTANGLE	148.0	1318.0	755.0	1402.0	837.0	Weise
0 RECTANGLE	149.0	1402.0	755.0	1458.0	837.0	die
0 RECTANGLE	150.0	1458.0	755.0	284.0	915.0	Cellulose-Mikrofibrillen
0 RECTANGLE	151.0	302.0	837.0	430.0	915.0	weben*,d
0 RECTANGLE	152.0	406.0	837.0	464.0	915.0	die
0 RECTANGLE	153.0	464.0	837.0	521.0	915.0	die
0 RECTANGLE	154.0	521.0	837.0	730.0	915.0	extrazelluläre
0 RECTANGLE	155.0	730.0	837.0	829.0	915.0	Matrix
0 RECTANGLE	156.0	829.0	837.0	885.0	915.0	der
0 RECTANGLE	157.0	885.0	837.0	1095.0	915.0	Pflanzenzellen
0 RECTANGLE	158.0	1095.0	837.0	1237.0	915.0	ausmachen.
