aoi_type	aoi	start_x	start_y	end_x	end_y	character
0 RECTANGLE	90.0	381.0	509.0	549.0	591.0	Umlaufszeit
0 RECTANGLE	91.0	549.0	509.0	703.0	591.0	unabhängig
0 RECTANGLE	92.0	703.0	509.0	759.0	591.0	vom
0 RECTANGLE	93.0	759.0	509.0	856.0	591.0	Radius
0 RECTANGLE	94.0	856.0	509.0	924.0	591.0	ist.
0 RECTANGLE	95.0	924.0	509.0	997.0	591.0	Wird
0 RECTANGLE	96.0	997.0	509.0	1052.0	591.0	die
0 RECTANGLE	97.0	1052.0	509.0	1235.0	591.0	Hochfrequenz
0 RECTANGLE	98.0	1235.0	509.0	1291.0	591.0	nun
0 RECTANGLE	99.0	1291.0	509.0	1375.0	591.0	genau
0 RECTANGLE	100.0	1375.0	509.0	1416.0	591.0	so
0 RECTANGLE	101.0	1416.0	509.0	1540.0	591.0	gewählt,
0 RECTANGLE	102.0	1540.0	509.0	1603.0	591.0	dass
0 RECTANGLE	103.0	81.0	591.0	129.0	673.0	die
0 RECTANGLE	104.0	129.0	591.0	213.0	673.0	Ionen
0 RECTANGLE	105.0	213.0	591.0	283.0	673.0	nach
0 RECTANGLE	106.0	283.0	591.0	451.0	673.0	Durchlaufen
0 RECTANGLE	107.0	451.0	591.0	506.0	673.0	des
0 RECTANGLE	108.0	506.0	591.0	674.0	673.0	Halbkreises
0 RECTANGLE	109.0	674.0	591.0	759.0	673.0	immer
0 RECTANGLE	110.0	759.0	591.0	801.0	673.0	zu
0 RECTANGLE	111.0	801.0	591.0	886.0	673.0	einem
0 RECTANGLE	112.0	886.0	591.0	1024.0	673.0	Zeitpunkt
0 RECTANGLE	113.0	1024.0	591.0	1123.0	673.0	wieder
0 RECTANGLE	114.0	1123.0	591.0	1165.0	673.0	am
0 RECTANGLE	115.0	1165.0	591.0	1249.0	673.0	Spalt
0 RECTANGLE	116.0	1249.0	591.0	1386.0	673.0	ankommen,
0 RECTANGLE	117.0	1386.0	591.0	1444.0	673.0	bei
0 RECTANGLE	118.0	1444.0	591.0	1501.0	673.0	dem
0 RECTANGLE	119.0	1501.0	591.0	1548.0	673.0	die
