aoi_type	aoi	start_x	start_y	end_x	end_y	word
0 RECTANGLE	1.0	80.0	21.0	128.0	99.0	Das
0 RECTANGLE	2.0	128.0	21.0	198.0	99.0	Ziel
0 RECTANGLE	3.0	198.0	21.0	254.0	99.0	der
0 RECTANGLE	4.0	254.0	21.0	465.0	99.0	holografischen
0 RECTANGLE	5.0	465.0	21.0	688.0	99.0	Interferometrie
0 RECTANGLE	6.0	688.0	21.0	745.0	99.0	ist
0 RECTANGLE	7.0	745.0	21.0	798.0	99.0	es,
0 RECTANGLE	8.0	798.0	21.0	997.0	99.0	Veränderungen
0 RECTANGLE	9.0	997.0	21.0	1039.0	99.0	an
0 RECTANGLE	10.0	1039.0	21.0	1165.0	99.0	Objekten
0 RECTANGLE	11.0	1165.0	21.0	1249.0	99.0	durch
0 RECTANGLE	12.0	1249.0	21.0	1428.0	99.0	Belastungen,
0 RECTANGLE	13.0	1428.0	21.0	1576.0	99.0	thermische
0 RECTANGLE	14.0	80.0	99.0	239.0	181.0	Ausdehnung,
0 RECTANGLE	15.0	239.0	99.0	423.0	181.0	Schwingungen
0 RECTANGLE	16.0	423.0	99.0	491.0	181.0	usw.
0 RECTANGLE	17.0	491.0	99.0	647.0	181.0	qualitativ
0 RECTANGLE	18.0	647.0	99.0	703.0	181.0	und
0 RECTANGLE	19.0	703.0	99.0	871.0	181.0	quantitativ
0 RECTANGLE	20.0	871.0	99.0	913.0	181.0	zu
0 RECTANGLE	21.0	913.0	99.0	1051.0	181.0	erfassen.
0 RECTANGLE	22.0	1051.0	99.0	1123.0	181.0	Beim
0 RECTANGLE	23.0	1123.0	99.0	1375.0	181.0	Echtzeitverfahren
0 RECTANGLE	24.0	1375.0	99.0	1430.0	181.0	der
0 RECTANGLE	25.0	1430.0	99.0	1633.0	181.0	holografischen
0 RECTANGLE	26.0	82.0	181.0	296.0	263.0	Interferometrie
0 RECTANGLE	27.0	296.0	181.0	367.0	263.0	wird
0 RECTANGLE	28.0	367.0	181.0	423.0	263.0	von
0 RECTANGLE	29.0	423.0	181.0	507.0	263.0	einem
0 RECTANGLE	30.0	507.0	181.0	605.0	263.0	Objekt
0 RECTANGLE	31.0	605.0	181.0	647.0	263.0	in
0 RECTANGLE	32.0	647.0	181.0	717.0	263.0	Ruhe
0 RECTANGLE	33.0	717.0	181.0	773.0	263.0	ein
0 RECTANGLE	34.0	773.0	181.0	913.0	263.0	Hologramm
0 RECTANGLE	35.0	913.0	181.0	1093.0	263.0	aufgenommen.
0 RECTANGLE	36.0	1093.0	181.0	1150.0	263.0	Die
0 RECTANGLE	37.0	1150.0	181.0	1374.0	263.0	Hologrammplatte
0 RECTANGLE	38.0	1374.0	181.0	1445.0	263.0	wird
0 RECTANGLE	39.0	1445.0	181.0	1526.0	263.0	dann,
0 RECTANGLE	40.0	1526.0	181.0	1590.0	263.0	ohne
0 RECTANGLE	41.0	82.0	263.0	129.0	345.0	sie
0 RECTANGLE	42.0	129.0	263.0	170.0	345.0	zu
0 RECTANGLE	43.0	170.0	263.0	295.0	345.0	bewegen,
0 RECTANGLE	44.0	295.0	263.0	340.0	345.0	am
0 RECTANGLE	45.0	340.0	263.0	437.0	345.0	festen
0 RECTANGLE	46.0	437.0	263.0	493.0	345.0	Ort
0 RECTANGLE	47.0	493.0	263.0	548.0	345.0	der
0 RECTANGLE	48.0	548.0	263.0	675.0	345.0	Aufnahme
0 RECTANGLE	49.0	675.0	263.0	829.0	345.0	entwickelt
0 RECTANGLE	50.0	829.0	263.0	885.0	345.0	und
0 RECTANGLE	51.0	885.0	263.0	941.0	345.0	mit
0 RECTANGLE	52.0	941.0	263.0	996.0	345.0	der
0 RECTANGLE	53.0	996.0	263.0	1192.0	345.0	Referenzwelle
0 RECTANGLE	54.0	1192.0	263.0	1359.0	345.0	beleuchtet,
0 RECTANGLE	55.0	1359.0	263.0	1458.0	345.0	sodass
0 RECTANGLE	56.0	1458.0	263.0	1507.0	345.0	ein
0 RECTANGLE	57.0	81.0	345.0	270.0	427.0	Hologrammbild
0 RECTANGLE	58.0	270.0	345.0	380.0	427.0	erzeugt
0 RECTANGLE	59.0	380.0	345.0	462.0	427.0	wird.
0 RECTANGLE	60.0	462.0	345.0	548.0	427.0	Nimmt
0 RECTANGLE	61.0	548.0	345.0	605.0	427.0	man
0 RECTANGLE	62.0	605.0	345.0	647.0	427.0	am
0 RECTANGLE	63.0	647.0	345.0	745.0	427.0	Objekt
0 RECTANGLE	64.0	745.0	345.0	801.0	427.0	nur
0 RECTANGLE	65.0	801.0	345.0	871.0	427.0	sehr
0 RECTANGLE	66.0	871.0	345.0	968.0	427.0	kleine
0 RECTANGLE	67.0	968.0	345.0	1123.0	427.0	Änderungen
0 RECTANGLE	68.0	1123.0	345.0	1178.0	427.0	vor
0 RECTANGLE	69.0	1178.0	345.0	1235.0	427.0	und
0 RECTANGLE	70.0	1235.0	345.0	1389.0	427.0	beleuchtet
0 RECTANGLE	71.0	1389.0	345.0	1430.0	427.0	es
0 RECTANGLE	72.0	1430.0	345.0	1473.0	427.0	am
0 RECTANGLE	73.0	1473.0	345.0	1591.0	427.0	gleichen
