aoi_type	aoi	start_x	start_y	end_x	end_y	word
0 RECTANGLE	1.0	82.0	21.0	240.0	99.0	Photonische
0 RECTANGLE	2.0	240.0	21.0	381.0	99.0	Kristalle
0 RECTANGLE	3.0	381.0	21.0	451.0	99.0	sind
0 RECTANGLE	4.0	451.0	21.0	576.0	99.0	räumlich
0 RECTANGLE	5.0	576.0	21.0	744.0	99.0	periodische
0 RECTANGLE	6.0	744.0	21.0	913.0	99.0	Anordnungen
0 RECTANGLE	7.0	913.0	21.0	969.0	99.0	von
0 RECTANGLE	8.0	969.0	21.0	1178.0	99.0	dielektrischen
0 RECTANGLE	9.0	1178.0	21.0	1276.0	99.0	Medien
0 RECTANGLE	10.0	1276.0	21.0	1333.0	99.0	mit
0 RECTANGLE	11.0	1333.0	21.0	1576.0	99.0	unterschiedlicher
0 RECTANGLE	12.0	81.0	99.0	422.0	181.0	Dielektrizitätskonstante
0 RECTANGLE	13.0	422.0	99.0	479.0	181.0	und
0 RECTANGLE	14.0	479.0	99.0	563.0	181.0	damit
0 RECTANGLE	15.0	563.0	99.0	815.0	181.0	unterschiedlichen
0 RECTANGLE	16.0	815.0	99.0	994.0	181.0	Brechzahlen.
0 RECTANGLE	17.0	994.0	99.0	1053.0	181.0	Man
0 RECTANGLE	18.0	1053.0	99.0	1123.0	181.0	kann
0 RECTANGLE	19.0	1123.0	99.0	1178.0	181.0	sie
0 RECTANGLE	20.0	1178.0	99.0	1347.0	181.0	realisieren
0 RECTANGLE	21.0	1347.0	99.0	1431.0	181.0	durch
0 RECTANGLE	22.0	1431.0	99.0	1604.0	181.0	transparente
0 RECTANGLE	23.0	80.0	181.0	252.0	263.0	Materialien,
0 RECTANGLE	24.0	252.0	181.0	297.0	263.0	in
0 RECTANGLE	25.0	297.0	181.0	352.0	263.0	die
0 RECTANGLE	26.0	352.0	181.0	521.0	263.0	periodische
0 RECTANGLE	27.0	521.0	181.0	677.0	263.0	Strukturen
0 RECTANGLE	28.0	695.0	181.0	780.0	263.0	z.B.d
0 RECTANGLE	29.0	757.0	181.0	954.0	263.0	dielektrische
0 RECTANGLE	30.0	954.0	181.0	1150.0	263.0	Mikrozylinder
0 RECTANGLE	31.0	1150.0	181.0	1220.0	263.0	oder
0 RECTANGLE	32.0	1220.0	181.0	1372.0	263.0	Kügelchen)
0 RECTANGLE	33.0	1372.0	181.0	1515.0	263.0	eingebaut
0 RECTANGLE	34.0	1515.0	181.0	1586.0	263.0	sind,
0 RECTANGLE	35.0	81.0	263.0	156.0	345.0	deren
0 RECTANGLE	36.0	156.0	263.0	282.0	345.0	Abstände
0 RECTANGLE	37.0	282.0	263.0	325.0	345.0	in
0 RECTANGLE	38.0	325.0	263.0	380.0	345.0	der
0 RECTANGLE	39.0	380.0	263.0	577.0	345.0	Größenordnung
0 RECTANGLE	40.0	577.0	263.0	632.0	345.0	der
0 RECTANGLE	41.0	632.0	263.0	772.0	345.0	optischen
0 RECTANGLE	42.0	772.0	263.0	940.0	345.0	Wellenlänge
0 RECTANGLE	43.0	940.0	263.0	1051.0	345.0	liegen.
0 RECTANGLE	44.0	1051.0	263.0	1108.0	345.0	Sie
0 RECTANGLE	45.0	1108.0	263.0	1291.0	345.0	beeinflussen
0 RECTANGLE	46.0	1291.0	263.0	1402.0	345.0	deshalb
0 RECTANGLE	47.0	1402.0	263.0	1458.0	345.0	die
0 RECTANGLE	48.0	1458.0	263.0	1619.0	345.0	Ausbreitung
0 RECTANGLE	49.0	81.0	345.0	130.0	427.0	von
0 RECTANGLE	50.0	130.0	345.0	213.0	427.0	Licht
0 RECTANGLE	51.0	213.0	345.0	255.0	427.0	in
0 RECTANGLE	52.0	255.0	345.0	352.0	427.0	diesen
0 RECTANGLE	53.0	352.0	345.0	533.0	427.0	Materialien.
0 RECTANGLE	54.0	533.0	345.0	619.0	427.0	Fällt
0 RECTANGLE	55.0	619.0	345.0	689.0	427.0	eine
0 RECTANGLE	56.0	689.0	345.0	843.0	427.0	Lichtwelle
0 RECTANGLE	57.0	843.0	345.0	899.0	427.0	auf
0 RECTANGLE	58.0	899.0	345.0	983.0	427.0	diese
0 RECTANGLE	59.0	983.0	345.0	1121.0	427.0	Struktur,
0 RECTANGLE	60.0	1121.0	345.0	1164.0	427.0	so
0 RECTANGLE	61.0	1164.0	345.0	1236.0	427.0	wird
0 RECTANGLE	62.0	1236.0	345.0	1291.0	427.0	ein
0 RECTANGLE	63.0	1291.0	345.0	1360.0	427.0	Teil
0 RECTANGLE	64.0	1360.0	345.0	1416.0	427.0	der
0 RECTANGLE	65.0	1416.0	345.0	1632.0	427.0	Wellenamplitude
0 RECTANGLE	66.0	82.0	427.0	115.0	509.0	an
0 RECTANGLE	67.0	115.0	427.0	171.0	509.0	den
0 RECTANGLE	68.0	171.0	427.0	353.0	509.0	Grenzflächen
0 RECTANGLE	69.0	353.0	427.0	408.0	509.0	der
0 RECTANGLE	70.0	408.0	427.0	591.0	509.0	periodischen
0 RECTANGLE	71.0	591.0	427.0	716.0	509.0	Struktur
0 RECTANGLE	72.0	716.0	427.0	897.0	509.0	reflektiert.
0 RECTANGLE	73.0	897.0	427.0	955.0	509.0	Ist
0 RECTANGLE	74.0	955.0	427.0	1011.0	509.0	die
0 RECTANGLE	75.0	1011.0	427.0	1122.0	509.0	Periode
0 RECTANGLE	76.0	1122.0	427.0	1179.0	509.0	der
0 RECTANGLE	77.0	1179.0	427.0	1305.0	509.0	Struktur
0 RECTANGLE	78.0	1305.0	427.0	1361.0	509.0	ein
0 RECTANGLE	79.0	1361.0	427.0	1542.0	509.0	π-vielfaches
0 RECTANGLE	80.0	1542.0	427.0	1590.0	509.0	der
0 RECTANGLE	81.0	80.0	509.0	252.0	591.0	Wellenlänge,
0 RECTANGLE	82.0	252.0	509.0	409.0	591.0	überlagern
0 RECTANGLE	83.0	409.0	509.0	479.0	591.0	sich
0 RECTANGLE	84.0	479.0	509.0	534.0	591.0	die
0 RECTANGLE	85.0	534.0	509.0	730.0	591.0	reflektierten
0 RECTANGLE	86.0	730.0	509.0	842.0	591.0	Anteile
0 RECTANGLE	87.0	842.0	509.0	1039.0	591.0	phasenrichtig
0 RECTANGLE	88.0	1039.0	509.0	1096.0	591.0	und
0 RECTANGLE	89.0	1096.0	509.0	1221.0	591.0	addieren
0 RECTANGLE	90.0	1221.0	509.0	1291.0	591.0	sich
0 RECTANGLE	91.0	1291.0	509.0	1415.0	591.0	deshalb.
0 RECTANGLE	92.0	1415.0	509.0	1463.0	591.0	Das
0 RECTANGLE	93.0	81.0	591.0	339.0	673.0	Reflexionsvermögen
0 RECTANGLE	94.0	339.0	591.0	394.0	673.0	des
0 RECTANGLE	95.0	394.0	591.0	533.0	673.0	Kristalls
0 RECTANGLE	96.0	533.0	591.0	606.0	673.0	wird
0 RECTANGLE	97.0	606.0	591.0	715.0	673.0	erhöht.
0 RECTANGLE	98.0	715.0	591.0	773.0	673.0	Ist
0 RECTANGLE	99.0	773.0	591.0	829.0	673.0	die
0 RECTANGLE	100.0	829.0	591.0	940.0	673.0	Periode
0 RECTANGLE	101.0	940.0	591.0	997.0	673.0	der
0 RECTANGLE	102.0	997.0	591.0	1123.0	673.0	Struktur
0 RECTANGLE	103.0	1123.0	591.0	1179.0	673.0	ein
0 RECTANGLE	104.0	1179.0	591.0	1375.0	673.0	ungeradzahlig
0 RECTANGLE	105.0	1375.0	591.0	1556.0	673.0	π-vielfaches
